Hash,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,YouthWomen,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
40004-00000,Bike,2023 - Spring,R-CORE CONCEPT,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Tops,Jersey,,Mens,Black,TRUE,TRUE,40004-00000,40004-00000,40004-00001,40004-00002,40004-00003,40004-00004,,,S,M,L,XL,2XL,,,49,49,TW,"86% Polyester
14% Elastane","If you're looking for a competitive edge, this jersey has you covered. R-Core Concept is applying experience while redefining standards to yield different results. When every millisecond counts, this aerodynamic fit can make that difference.","• Polyester/Elastane jersey fabric
• Moisture Management Properties
• Aerodynamic chassis
• Screen printed graphics
• Flat-lock seams for comfort and resists chafing
• Wear under the R-Core Concept Bib or as is",https://fs.amplifi.io//file?id=ae7d642a-0f57-44d3-88f2-68dbeede7756,https://fs.amplifi.io//file?id=ae7d642a-0f57-44d3-88f2-68dbeede7756&variant=thumb&extension=png,https://fs.amplifi.io//file?id=ae7d642a-0f57-44d3-88f2-68dbeede7756,https://fs.amplifi.io//file?id=9866e87d-40b3-45c0-9769-50dd674dc3a7,https://fs.amplifi.io//file?id=54186857-cdb0-4041-8357-a440d8039b75,,,,,,,,
40006-00000,Bike,2023 - Spring,R-CORE,Pants,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Pants,,Mens,Black,TRUE,TRUE,40006-00000,40006-00000,40006-00001,40006-00002,40006-00003,40006-00004,40006-00005,40006-00006,28,30,32,34,36,38,40,119,119,CN,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• DWR 2-way mechanical stretch polyester fabric  
• Inseam laser holes for increased air flow
• Stretch-mesh venting at back knee increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Printed graphics
• Zipper pocket for security of essentials
• Articulated knee improves mobility",https://fs.amplifi.io//file?id=41de1758-99c5-4882-b4be-e34d2b371cac,https://fs.amplifi.io//file?id=41de1758-99c5-4882-b4be-e34d2b371cac&variant=thumb&extension=png,https://fs.amplifi.io//file?id=41de1758-99c5-4882-b4be-e34d2b371cac,https://fs.amplifi.io//file?id=ece36bfd-a7b3-470c-a452-42058fd78a18,https://fs.amplifi.io//file?id=10e08d99-a3a6-438b-a49f-1012c0f363e6,https://fs.amplifi.io//file?id=4940cb0c-0eca-4f8c-a016-a02808e73564,,,,,,,
40007-00000,Bike,2023 - Spring,R-CORE,Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Black,TRUE,TRUE,40007-00000,40007-00000,40007-00001,40007-00002,40007-00003,40007-00004,40007-00005,40007-00006,28,30,32,34,36,38,40,89,89,CN,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• DWR 2-way mechanical stretch polyester fabric  
• Inseam laser holes for increased air flow
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Printed graphics
• Zipper pocket for security of essentials",https://fs.amplifi.io//file?id=82349fb7-5067-4ee3-8ce9-b23893c77a9c,https://fs.amplifi.io//file?id=82349fb7-5067-4ee3-8ce9-b23893c77a9c&variant=thumb&extension=png,https://fs.amplifi.io//file?id=43f1cdc9-8f20-4be1-a8f3-6685541fc74c,https://fs.amplifi.io//file?id=82349fb7-5067-4ee3-8ce9-b23893c77a9c,https://fs.amplifi.io//file?id=35fc7819-61e4-4529-86c0-177fc569982e,https://fs.amplifi.io//file?id=e32cd5b8-1285-4c85-b38c-cee51237a8cf,,,,,,,
40009-00000,Bike,2023 - Spring,R-CORE,Youth Pants,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Pants,,Youth,Black,TRUE,TRUE,40009-00000,40009-00000,40009-00001,40009-00002,40009-00003,,,,22,24,26,28,,,,99,99,CN,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• DWR 2-way mechanical stretch polyester fabric  
• Inseam laser holes for increased air flow
• Stretch-mesh venting increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Printed graphics
• Zipper pocket for security of essentials
• Articulated knee improves mobility",https://fs.amplifi.io//file?id=787256d9-ff0a-4432-90a4-e2688259a6f3,https://fs.amplifi.io//file?id=787256d9-ff0a-4432-90a4-e2688259a6f3&variant=thumb&extension=png,https://fs.amplifi.io//file?id=c0d2e229-c4ec-491d-a387-ad57ed14251a,https://fs.amplifi.io//file?id=787256d9-ff0a-4432-90a4-e2688259a6f3,https://fs.amplifi.io//file?id=82f6f791-ee41-4e49-a9c3-e1c33ed01a5b,https://fs.amplifi.io//file?id=d7ec7342-c15c-4442-bc24-23619c2bff7a,,,,,,,
40010-00000,Bike,2023 - Spring,R-CORE,Youth Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Youth,Black,TRUE,TRUE,40010-00000,40010-00000,40010-00001,40010-00002,40010-00003,,,,22,24,26,28,,,,84,84,CN,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• DWR 2-way mechanical stretch polyester fabric  
• Inseam laser holes for increased air flow
• Stretch-mesh venting increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Printed graphics
• Zipper pocket for security of essentials
• Articulated knee improves mobility",https://fs.amplifi.io//file?id=8b0f3c06-58b5-41e8-a0af-c93277b62d87,https://fs.amplifi.io//file?id=8b0f3c06-58b5-41e8-a0af-c93277b62d87&variant=thumb&extension=png,https://fs.amplifi.io//file?id=85cfe1d6-c5e0-4404-9c55-96a9f6b8e045,https://fs.amplifi.io//file?id=404aaded-89c9-41cd-a169-0133724f26b6,https://fs.amplifi.io//file?id=8b0f3c06-58b5-41e8-a0af-c93277b62d87,https://fs.amplifi.io//file?id=03f841a5-3bf8-4658-b868-43f269de2199,,,,,,,
40015-00000,Bike,2023 - Spring,AIRMATIC,Women's Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Tops,Jersey,,Womens,Black,TRUE,TRUE,40015-00000,40015-00000,40015-00001,40015-00002,40015-00003,,,,S,M,L,XL,,,,49,49,TW,100% Polyester,The Women's Airmatic all-mountain riding apparel provides all day comfort without sacrificing style. Purpose built to offer an exceptional fit for female riders with just the right amount of technical features makes it the perfect choice.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant sublimated graphics
• Unique neckline for added style and comfort
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=49ccf4ee-f48d-4276-9ad0-87f5c8f6e59a,https://fs.amplifi.io//file?id=49ccf4ee-f48d-4276-9ad0-87f5c8f6e59a&variant=thumb&extension=png,https://fs.amplifi.io//file?id=49ccf4ee-f48d-4276-9ad0-87f5c8f6e59a,https://fs.amplifi.io//file?id=e4489e39-cd0c-4e6d-ba06-5f7fe62ae3c4,https://fs.amplifi.io//file?id=52016164-836c-4c5d-974e-2df204fa0eeb,https://fs.amplifi.io//file?id=502911ef-834b-4af3-8a0c-af49dbbe0b50,,,,,,,
40016-00000,Bike,2023 - Spring,AIRMATIC MESH,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Tops,Jersey,,Mens,Slate Blue,TRUE,FALSE,40016-00000,40016-00000,40016-00001,40016-00002,40016-00003,40016-00004,,,S,M,L,XL,2XL,,,54,54,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"•Technical mesh knit fabric for breathability with a casual t-shirt look and feel.
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=17e51924-ee4b-4224-a117-83f5de76a1db,https://fs.amplifi.io//file?id=17e51924-ee4b-4224-a117-83f5de76a1db&variant=thumb&extension=png,https://fs.amplifi.io//file?id=6aaf5703-3071-458c-81de-2e99c6a5fcd8,https://fs.amplifi.io//file?id=b551bab6-0151-4112-bd2b-e1b9f60e115a,https://fs.amplifi.io//file?id=17e51924-ee4b-4224-a117-83f5de76a1db,https://fs.amplifi.io//file?id=ed3e6080-91ac-4aa2-8777-fd9475436e47,,,,,,,
40016-00005,Bike,2023 - Spring,AIRMATIC MESH,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Tops,Jersey,,Mens,Grey,TRUE,FALSE,40016-00005,40016-00005,40016-00006,40016-00007,40016-00008,40016-00009,,,S,M,L,XL,2XL,,,54,54,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"•Technical mesh knit fabric for breathability with a casual t-shirt look and feel.
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=61fb8bee-3942-47b6-91ca-a1c28785e9c6,https://fs.amplifi.io//file?id=61fb8bee-3942-47b6-91ca-a1c28785e9c6&variant=thumb&extension=png,https://fs.amplifi.io//file?id=10b9f763-d76e-4d73-93c4-53f2ac814f96,https://fs.amplifi.io//file?id=e9b7382a-38c0-423b-81fd-2f79b4976829,https://fs.amplifi.io//file?id=46f36841-86e9-4e81-b9c4-4ab47160cafe,https://fs.amplifi.io//file?id=61fb8bee-3942-47b6-91ca-a1c28785e9c6,,,,,,,
40019-00000,Bike,2023 - Spring,AIRMATIC,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Tops,Jersey,,Mens,Black,TRUE,TRUE,40019-00000,40019-00000,40019-00001,40019-00002,40019-00003,40019-00004,,,S,M,L,XL,2XL,,,59,59,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic mesh offers the same exceptional quality as Airmatic. The fabric offers more breathability to achieve peak performance.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=1d4e4839-1e2b-49ad-b028-bfa7982db469,https://fs.amplifi.io//file?id=1d4e4839-1e2b-49ad-b028-bfa7982db469&variant=thumb&extension=png,https://fs.amplifi.io//file?id=9d1a993b-fa38-4633-b66d-10ae954deeb8,https://fs.amplifi.io//file?id=ca072a67-e2bf-4575-8cbd-9c27d2d25568,https://fs.amplifi.io//file?id=1d4e4839-1e2b-49ad-b028-bfa7982db469,https://fs.amplifi.io//file?id=9503f5dc-db5b-486d-9461-0093631bef0c,,,,,,,
40021-00000,Bike,2023 - Spring,AIRMATIC,Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Black,TRUE,TRUE,40021-00000,40021-00000,40021-00001,40021-00002,40021-00003,40021-00004,40021-00005,40021-00006,28,30,32,34,36,38,40,99,99,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=1f6db9f1-e3ec-4722-9875-70541f51c52b,https://fs.amplifi.io//file?id=1f6db9f1-e3ec-4722-9875-70541f51c52b&variant=thumb&extension=png,https://fs.amplifi.io//file?id=1f6db9f1-e3ec-4722-9875-70541f51c52b,https://fs.amplifi.io//file?id=a30ffc4f-6c23-483d-9b5f-936bd3c4a226,https://fs.amplifi.io//file?id=b0b8248b-ff6c-4144-bf3a-2f4e0d510373,,,,,,,,
40021-00014,Bike,2023 - Spring,AIRMATIC,Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Charcoal,TRUE,TRUE,40021-00014,40021-00014,40021-00015,40021-00016,40021-00017,40021-00018,40021-00019,40021-00020,28,30,32,34,36,38,40,99,99,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=1845ad43-075d-4689-b607-be5b04dbb0fc,https://fs.amplifi.io//file?id=1845ad43-075d-4689-b607-be5b04dbb0fc&variant=thumb&extension=png,https://fs.amplifi.io//file?id=1845ad43-075d-4689-b607-be5b04dbb0fc,https://fs.amplifi.io//file?id=23c20882-dab9-4e60-8879-3df69ef7a8e7,https://fs.amplifi.io//file?id=e2249b05-763f-4fbf-b16f-97f2b9ae101b,https://fs.amplifi.io//file?id=1ae74018-3667-4ed9-9b56-1915e6a6e542,,,,,,,
40021-00021,Bike,2023 - Spring,AIRMATIC,Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Navy,TRUE,TRUE,40021-00021,40021-00021,40021-00022,40021-00023,40021-00024,40021-00025,40021-00026,40021-00027,28,30,32,34,36,38,40,99,99,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=8bc78965-d022-479e-b2b5-c279ccd5ef49,https://fs.amplifi.io//file?id=8bc78965-d022-479e-b2b5-c279ccd5ef49&variant=thumb&extension=png,https://fs.amplifi.io//file?id=7240b3ec-4faf-4edb-b397-aaa4732f894c,https://fs.amplifi.io//file?id=3944c28f-da31-42ff-8f09-9aa1b3a2360e,https://fs.amplifi.io//file?id=8bc78965-d022-479e-b2b5-c279ccd5ef49,,,,,,,,
40023-00000,Bike,2023 - Spring,AIRMATIC,Women's Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Womens,Black,TRUE,TRUE,40023-00000,40023-00000,40023-00001,40023-00002,40023-00003,,,,S,M,L,XL,,,,99,99,CN,"96% Polyester
4% Elastane",The Women's Airmatic all-mountain riding apparel provides all day comfort without sacrificing style. Purpose built to offer an exceptional fit for female riders with just the right amount of technical features makes it the perfect choice.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=813226d4-b759-4f54-900d-7de1ecfbe9df,https://fs.amplifi.io//file?id=813226d4-b759-4f54-900d-7de1ecfbe9df&variant=thumb&extension=png,https://fs.amplifi.io//file?id=31a81e94-1933-420b-934e-820adae57485,https://fs.amplifi.io//file?id=813226d4-b759-4f54-900d-7de1ecfbe9df,,,,,,,,,
40025-00000,Bike,2023 - Spring,AIRMATIC,Pants,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Pants,,Mens,Black,TRUE,TRUE,40025-00000,40025-00000,40025-00001,40025-00002,40025-00003,40025-00004,40025-00005,40025-00006,28,30,32,34,36,38,40,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch mesh gusset fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=9ef8a531-9297-45ff-90e3-3bc6bbe0af8d,https://fs.amplifi.io//file?id=9ef8a531-9297-45ff-90e3-3bc6bbe0af8d&variant=thumb&extension=png,https://fs.amplifi.io//file?id=1b3a9b02-3913-43dc-bd26-5f7e34985b11,https://fs.amplifi.io//file?id=9ef8a531-9297-45ff-90e3-3bc6bbe0af8d,,,,,,,,,
40025-00014,Bike,2023 - Spring,AIRMATIC,Pants,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Pants,,Mens,Charcoal,TRUE,TRUE,40025-00014,40025-00014,40025-00015,40025-00016,40025-00017,40025-00018,40025-00019,40025-00020,28,30,32,34,36,38,40,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch mesh gusset fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=7b304845-10bb-40f3-86b9-6c4bdc76e88a,https://fs.amplifi.io//file?id=7b304845-10bb-40f3-86b9-6c4bdc76e88a&variant=thumb&extension=png,https://fs.amplifi.io//file?id=c3c451ef-9cac-46da-83d6-f72fad423c06,https://fs.amplifi.io//file?id=7b304845-10bb-40f3-86b9-6c4bdc76e88a,https://fs.amplifi.io//file?id=04830b84-5eb6-46ea-8b74-83a29accdaa0,,,,,,,,
40026-00000,Bike,2023 - Spring,AIRMATIC,Women's Pants,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Pants,,Womens,Black,TRUE,TRUE,40026-00000,40026-00000,40026-00001,40026-00002,40026-00003,,,,S,M,L,XL,,,,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Zipper fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=8f4b5feb-bc0d-4908-ace1-76c35d13c2aa,https://fs.amplifi.io//file?id=8f4b5feb-bc0d-4908-ace1-76c35d13c2aa&variant=thumb&extension=png,https://fs.amplifi.io//file?id=39199fb8-5ba3-4dd6-9c64-79d21f08abd1,https://fs.amplifi.io//file?id=8f4b5feb-bc0d-4908-ace1-76c35d13c2aa,https://fs.amplifi.io//file?id=fcbf5da0-ab87-473e-b938-05b812bd93ae,https://fs.amplifi.io//file?id=220ce2dd-9845-42fa-a2d0-9cb4ce17ea7b,,,,,,,
40026-00004,Bike,2023 - Spring,AIRMATIC,Women's Pants,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Pants,,Womens,Charcoal,TRUE,TRUE,40026-00004,40026-00004,40026-00005,40026-00006,40026-00007,,,,S,M,L,XL,,,,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Zipper fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=0521e15c-4194-4c93-bb51-72d70d4ab260,https://fs.amplifi.io//file?id=0521e15c-4194-4c93-bb51-72d70d4ab260&variant=thumb&extension=png,https://fs.amplifi.io//file?id=0521e15c-4194-4c93-bb51-72d70d4ab260,https://fs.amplifi.io//file?id=f308cb89-9cd7-4a43-b745-8df325a67354,https://fs.amplifi.io//file?id=b0bdc428-7416-4ba1-9098-91779253817c,https://fs.amplifi.io//file?id=251617f6-c6c0-4e28-ac09-d24affedbe9d,,,,,,,
40028-00000,Bike,2023 - Spring,RIDECAMP,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Tops,Jersey,,Mens,Black/Charcoal,TRUE,TRUE,40028-00000,40028-00000,40028-00001,40028-00002,40028-00003,40028-00004,,,S,M,L,XL,2XL,,,44,44,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=08bcd821-7b0d-40a2-b4cd-1f578430fb2c,https://fs.amplifi.io//file?id=08bcd821-7b0d-40a2-b4cd-1f578430fb2c&variant=thumb&extension=png,https://fs.amplifi.io//file?id=08bcd821-7b0d-40a2-b4cd-1f578430fb2c,https://fs.amplifi.io//file?id=b561f80d-1c44-468e-830b-8e56d5984927,https://fs.amplifi.io//file?id=155b7db1-1c22-436a-970a-ef0b794eb997,,,,,,,,
40029-00000,Bike,2023 - Spring,RIDECAMP,Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Black,TRUE,TRUE,40029-00000,40029-00000,40029-00001,40029-00002,40029-00003,40029-00004,40029-00005,40029-00006,28,30,32,34,36,38,40,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective tape for increased visibility",https://fs.amplifi.io//file?id=6816ebff-c4de-4636-badf-a1d372f7f9db,https://fs.amplifi.io//file?id=6816ebff-c4de-4636-badf-a1d372f7f9db&variant=thumb&extension=png,https://fs.amplifi.io//file?id=6816ebff-c4de-4636-badf-a1d372f7f9db,https://fs.amplifi.io//file?id=06169c23-47fd-4ed4-a598-5ff62a49a3f3,,,,,,,,,
40029-00007,Bike,2023 - Spring,RIDECAMP,Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Charcoal,TRUE,TRUE,40029-00007,40029-00007,40029-00008,40029-00009,40029-00010,40029-00011,40029-00012,40029-00013,28,30,32,34,36,38,40,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective tape for increased visibility",https://fs.amplifi.io//file?id=dec1b02d-9c75-4ac0-8c6a-0b6162ea7f31,https://fs.amplifi.io//file?id=dec1b02d-9c75-4ac0-8c6a-0b6162ea7f31&variant=thumb&extension=png,https://fs.amplifi.io//file?id=a981eebc-9831-4a08-8906-3cbfe1280f09,https://fs.amplifi.io//file?id=dec1b02d-9c75-4ac0-8c6a-0b6162ea7f31,,,,,,,,,
40030-00000,Bike,2023 - Spring,RIDECAMP,Shorts w/ Liner,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Mens,Black,TRUE,TRUE,40030-00000,40030-00000,40030-00001,40030-00002,40030-00003,40030-00004,40030-00005,40030-00006,28,30,32,34,36,38,40,99,99,CN,"Shell
100% Polyester
Lining
100% Polyester","Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Reflective logo for increased visibility
• Velcro cargo pocket and zipper pocket for security of essentials
• Mesh liner short with brushed elastic and comfy chamois included",https://fs.amplifi.io//file?id=c0112852-cc42-41db-bf22-7b569e70b683,https://fs.amplifi.io//file?id=c0112852-cc42-41db-bf22-7b569e70b683&variant=thumb&extension=png,https://fs.amplifi.io//file?id=37762edc-03dd-45b6-bbc3-65b94dffeb71,https://fs.amplifi.io//file?id=1c2abf2f-6c8f-4456-a93e-ce1fea955976,https://fs.amplifi.io//file?id=52bc11e5-d650-4ff5-8c25-ad7ca72924e7,https://fs.amplifi.io//file?id=ee78d00c-09ab-4a7e-ab2e-48fd470da1c1,https://fs.amplifi.io//file?id=c0112852-cc42-41db-bf22-7b569e70b683,https://fs.amplifi.io//file?id=3991e5ed-7372-4724-a7fc-ea58c36c8f8a,,,,,
40033-00000,Bike,2023 - Spring,RIDECAMP,Youth Shorts,Gear,Soft Goods,SP22,"FA22, SP22, SP23",Bottoms,Shorts,,Youth,Black,TRUE,TRUE,40033-00000,40033-00000,40033-00001,40033-00002,40033-00003,,,,22,24,26,28,,,,64,64,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective logo for increased visibility",https://fs.amplifi.io//file?id=5ae0fc8e-b4ad-4e0b-8374-87927846becb,https://fs.amplifi.io//file?id=5ae0fc8e-b4ad-4e0b-8374-87927846becb&variant=thumb&extension=png,https://fs.amplifi.io//file?id=912ae76d-b9ed-48ed-8228-91e6f3ed2810,https://fs.amplifi.io//file?id=630f8080-9253-423a-abf6-3e237a51474b,https://fs.amplifi.io//file?id=a57f1419-d7e9-40eb-aa6a-ec1d06ba05e8,https://fs.amplifi.io//file?id=5ae0fc8e-b4ad-4e0b-8374-87927846becb,,,,,,,
